id,Created At,Number,VC Area,Department - Label,Department - ID,Department,Short Name of Idea/Solution,Description,Attachments (optional),Is this an existing AI tool/solution?
696edc1a42547dc8bb97ddfb,2026-01-20T01:36:26.054Z,186,Chief Financial Officer,BUSINESS AND FINANCIAL SERV.,BUSINESS AND FINANCIAL SERV.,BUSINESS AND FINANCIAL SERV.,AI Agent to support Transaction Approvers,"Campus users have a painpoint around managing approvals. They are in disparate systems, with different push notifications (type and frequency) and source systems do not always have good search features that the users are looking for. We have a pending ITS request to build an application type solution for this, but maybe AI could do it instead. Systems could be in Oracle (different modules with different assignee structure, Concur, Kuali, ServiceNow, Ecotime, UCPath and more. I envision something like an agent where users can go to TGPT and type ""show what my pending approvals are"" and get the results live from the source systems. There are APIs for most (all?) of the requested approvals. See more detailed requirements here: https://ucsdcollab.atlassian.net/wiki/spaces/IPAAS/pages/2513732904/FIS+Universal+Approval+Dashboard",,No
69618c35e5edd94affc16281,2026-01-09T23:16:04.891Z,183,Chief Financial Officer,BUSINESS AND FINANCIAL SERV.,BUSINESS AND FINANCIAL SERV.,BUSINESS AND FINANCIAL SERV.,Use AI to match payment remittance information to open Invoices,"The current open AR receivables invoice amount is over $400M.  At the same time, the amount of payments at UCSD that are not yet applied to an invoice is over $90M.  Unapplied payments are a problem for the campus because cash needs to be applied for proper financial management and reporting at a department and enterprise level. AI could read the data on the unidentified payments and suggest likely matches with the AR data. Currently, the AR staff regularly review this data and attached to research and apply payments, but AI could speed up this process drastically. One of the root causes for unidentified payments is that customers send in payments with missing identifying information such as invoice number, customer number. There are also cases where the payment arrives before the invoice is processed and that problem is outside the scope of this request.  AI could also learn patterns of customers that AR staff could then reach out to fix the root issue. Other patterns of behavior could help with campus education and training to solve the root cause. ",UCSD-A Incoming Payments (Receipts) Report.csv,No
691270f9cc03c958ee09bff5,2025-11-10T23:10:48.850Z,173,Advancement,ALUMNI & COMMUNITY ENGAGEMENT,ALUMNI & COMMUNITY ENGAGEMENT,ALUMNI & COMMUNITY ENGAGEMENT,AI mentor matching soluiton,"The Alumni team currently uses a platform, Gravyty, that handles their mentor matching to students. This platform will no longer exist in June 2026, and a replacement tool will be needed. They would like AI to automate and intelligently execute the mentor-mentee pairing process, replacing the functionality of the current costly, proprietary platform. The core problem being addressed is the imminent loss of the automated mentor-mentee matching functionality due to the sunsetting of the Triton's Connect (Gravyty) platform. The program involves recruiting approximately 800 students (mentees) and identifying about 300 alumni volunteers (mentors), resulting in approximately 375 matched students annually. The current platform is set to off-board on June 30.

The AI solution would specifically solve the need for a smart, automated match component between profiles for student and alumni mentors. The existing Triton's Connect platform uses a proprietary algorithm for matching, and this AI solution could possibly leverage internal technology (such as Triton GPT or a Gemini Gem) to replicate or improve this algorithm, creating a smarter and more efficient way to make pairings.
Ideally, it would take data gathered from mentor and mentee profiles/forms and run a comparison (potentially using sentiment analysis or common theme identification across 10-15 different points of interest) to generate viable matches.",,No
68d31769a5cb4823a74536f3,2025-09-23T21:55:53.104Z,169,Chief Financial Officer,Supply Chain Services,Supply Chain Services,Supply Chain Services,OCR API for Conveyor Belt ,"IPPS Logistics is implementing a new, automated conveyor belt that takes high quality pictures and uses OCR to read package labels and route packages for delivery. Unfortunately, the OCR technology embedded within the conveyor isn't living up to its promise and we're going back and forth with them about the contract to fix it. While we do that, we engaged an AWS sponsored lab at CalPoly SLO to develop an AI powered Proof-of-Concept and they were able to deliver a solution that works much better. We would love it if this solution could be supported by TritonGPT/ UCSD AI.   See: https://ucsdcollab.atlassian.net/wiki/spaces/IPPS/pages/2752479260/Logistics+-+CalPoly+Dx+Hub+AWS+OCR+Improvements+for+Conveyor+Belt

Planning to bring up at the conversation that's scheduled with OSI/Shawn Munro on 9/24, so documenting the idea formally here first. :)",,Yes
68d1d8b3523d058d444e3265,2025-09-22T23:16:17.558Z,168,Academic Affairs,QUALCOMM INSTITUTE,QUALCOMM INSTITUTE,QUALCOMM INSTITUTE,AI chatbot for Nano3 facility website,"I hope to have an AI chatbot that can be embedded to my unit's website, nanofab.ucsd.edu, for users to interact with and answer technical questions related to Nano3. At Nano3, we have many shared tools and many documents related to those tools. It will be great that the AI chatbot can be trained with our documents and then be able to provide answers to questions related to the equipment capability, process detail or limits, etc. Currently, the TritonGPT has a chatbot. But it is more for stuff on the Blink pages. It cannot answer questions specifically related to Nano3 and our tools. ",,No
68d1747da5cb4823a734efa5,2025-09-22T16:08:29.361Z,167,Research and Innovation,OFFICE RESEARCH AFFAIRS,OFFICE RESEARCH AFFAIRS,OFFICE RESEARCH AFFAIRS,TritonGPT assistant to find faculty with specific skills or interests,"In partnership with Ben Smarr (Assoc. Professor in Bioengineering / HDSI)

PROBLEM: Industry partners, students, media agents, legislators, and many others frequently reach out to contacts at UCSD seeking faculty with specific expertise. Additionally, ORI and only offices across campus similarly seek to identify faculty with specific expertise for research growth and research development opportunities. UCSD has no scalable solution for this need. Currently it requires tapping into knowledge held by individuals or inefficient bespoke searches that can be time consuming and incomplete. We propose an LLM trained on faculty content to efficiently and scalably address such queries. This will reduce burden on current faculty and staff, while improving speed and success connecting interested parties with the right UCSD faculty. 

PROJECT PROPOSAL: Industry partners, students, media agents, legislators, and many others frequently reach out to contacts at UCSD seeking faculty with specific expertise. UCSD has a large and growing number of faculty, and most departments are not up to date on the expertise in other parts of campus; many points of contact we have spoken with are clear that they often feel out of date even within their own department. At the same time, managing these demands imposes a substantial time cost, and opportunity cost when the right connections are not made. 

We propose developing an AI tool, driven by TritonGPT, to alleviate these costs while improving outcomes for such requests. To achieve this goal, we would first create scrapers for all departments to generate updated lists of all current faculty. Based on these lists, we will create scrappers to identify all publications, performances, and news mentions attributable to UCSD faculty. Text content will be downloaded, as will faculty webpage content. As an automated process, this database of content can be updated frequently and cheaply. Linking ORCID IDs to our scrapings will increase confidence for scientific publications that attribution is correct in those cases where faculty have common names. Infrequent requests for confirmation from faculty by email will further refine results when ambiguities are expected. Finally, we will develop an LLM layer with TritonGPT to enable common language queries to this database through a webpage portal.

In this way, someone might ask ""who is doing HealthAI research related to cardiac disease?"" and get back a list of faculty who best match this description, along with links to related content from within the database. This workflow could be expanded to include contact with relevant staff as well - for example, Prof. Smarr serves as the Industry Liaison Board Chair for HDSI, but works closely with Erik Mjoen on HDSI Staff, who has a full time position supporting industry relations. Someone making the above example query might then receive ""Prof. Albert Hsaio at HDSI works on AI models for cardiac health. If you have questions about HDSI partnerships, Erik Mjoen is the lead for Industry Liaison Partners.""

This work will elevate investments made in TritonGPT, will increase engagement between UCSD and extramural partners, and reduce burden on faculty and staff. It can be developed by student employees with faculty oversight, making it impactful, broadly useful across campus, and highly likely to be a net positive investment.",,No
68bb740ea5cb4823a7bb1b8c,2025-09-05T23:36:46.227Z,157,Academic Affairs,School of Public Health,School of Public Health,School of Public Health,Using Generative AI to Gain Efficiencies in Academic Review and Academic File Preparation,"Academic review at UC San Diego is a complex, labor-intensive, and time-consuming process.  It is multi-layered, involving many steps at many levels, and within those levels, work by different people and groups.  A critical first step to exploring the use of AI to increase ease and efficiency in academic review would be to determine which tasks, at which steps and levels, performed by which people, would be best targeted for a pilot intervention/program.  Key informants and stakeholders should be consulted and provide input on this question.  
It should be noted that the high-stakes nature of academic review means that the use of AI in this process is not without risks and requires close attention issues of transparency, privacy, and integrity.  A critical asset at UC San Diego that could be leveraged to potentially mitigate some risks is TritonGPT, our in house, generative AI platform that is securely hosted at the San Diego Supercomputer Center.  Notably, the TritonGPT development team has already built several “assistants” designed for use by University staff to help with administrative tasks.  These tools could serve as models for developing a sort of “academic review assistant”.
If risks could be mitigated, the potential benefits could be significant and the value proposition is high.  Reducing the labor and time involved in academic review could offer cost savings for the university and its schools and departments, as well as decreases in faculty burden related to preparation of file materials.
",AI in Academic Review - Bloss - 30Aug2025.pdf,No
68b07bf832979d6024966275,2025-08-28T15:55:36.488Z,154,Chief Financial Officer,Supply Chain Services,Supply Chain Services,Supply Chain Services,Workflow Solution - Fund Manager Review ,"This idea is for a future extension/iteration of the idea submitted in 0153 for the OFC Workflow Solution focused on Professional Buyer Review. I understand there's a push from leadership to develop solutions towards ""touchless administration"". While we've done a lot to automate what we can of transactions - one part of transactions that still tend not be to automated (either based on departmental preference or by policy requirements) are Fund Manager/Financial Unit Manager review. 

With integrations to FinAH and Fund Manager Coach Assistant, I wonder if TritonGPT could be developed to do a review of transactional documents on behalf of Fund Managers - ex: POs, Invoices, Expense Reports, role requests, stipends, timecards, etc. Transactions that are high risk (TBD by document type and/or funding type?, or when budgets get close to max) or don't meet historical patterns could be routed for approval to a Fund Manager. But I bet a model like this could significantly cut down on workload all across campus, one one of our key populations that tend to be the most burdened transitionally.

Implementation could follow a similar model to what's been piloted in IPPS' proof of concept with the AWS team, an API pull of documents, run through AI engine, with an API sending  back a flag/field update that can be used as a workflow routing determinant in workflow. Would depend on the capabilities of each system - I know Oracle and Concur could support this, but can't speak to other systems.",,No
68b07ac8472324fe4d17fadb,2025-08-28T15:50:32.830Z,153,Chief Financial Officer,Supply Chain Services,Supply Chain Services,Supply Chain Services,OFC Workflow Solution ,"Already discussed with OSI/ADIS/TritonGPT teams: 

IPPS has partnered with the the Digital Transformation Hub (DxHub), an AWS sponsored lab at CalPoly San Luis Obispo that helps public-sector agencies solve business problems using technology through lean prototyping projects their students take the lead in, to see if we can craft a smarter alternative for PO workflow than Oracle's limited If-Then rule engine using AI.

The DxHub has created a proof of concept for the AI evaluation of a PO and would like to share it with our local UCSD IT and discuss what consumption of the AI/implementation with Oracle via REST API could look like. 

Background documents: 
Original project proposal: see attached
Proposed Oracle Workflow and API design/interaction: https://ucsdcollab.atlassian.net/wiki/spaces/IPPS/pages/2745892880/Proposed+Oracle+API+Workflow+Design",Cal Poly DxHub Challenge Submission Form_UCSDProfBuyerReview.docx,No
68a735b8d2a1d009d63d9b44,2025-08-21T15:05:28.545Z,152,Chief Financial Officer,Supply Chain Services,Supply Chain Services,Supply Chain Services,AI Agent Powered Forms - Logistics,"Logistics has several processes currently on their Logistics.ucsd.edu portal, or Services and Support, where campus users contact them to initiate a manual process on the Logistics side - ex. Request to pickup a pickup a package instead of having it delivered, set up a new storage cage/locker, create/edit a water contract, etc). A good amount of theses processes could be automated with AI Agents that could review the request and do things like 1) review the open/available storage lockers and reserve the one that best meets the clients needs and draft a contract for the client, 2) set up an alert in our package tracking system to divert the package when it arrives for pickup instead of the standard delivery processing, 3) looking up the customers water account, and making the requisite edit. Complex orders could still be sent to to Logistic representative, but most of the requests could become more self-service giving customers faster responses, rather than waiting for the Logistics/warehouse staff to check in on these items once their back at their desks at the end of the day.",,No
